molecule_chembl_id,canonical_smiles,standard_value,standard_value_norm,pIC50
CHEMBL1085021,Cc1cc(-c2ccc3c(c2)OCO3)nnc1NCCN1CCCCC1,1000.0,1000.0,5.999999999999566
CHEMBL1083676,OCc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,440000.0,440000.0,3.3565473235138117
CHEMBL150365,N#Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,100000.0,100000.0,3.9999999999999956
CHEMBL1082740,FC(F)(F)c1cc(-c2ccccc2)nnc1NCCN1CCOCC1,740000.0,740000.0,3.1307682802690233
CHEMBL1082741,Nc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,270000.0,270000.0,3.568636235841011
CHEMBL356224,c1ccc(-c2cc(-c3ccccc3)c(NCCN3CCOCC3)nn2)cc1,260000.0,260000.0,3.5850266520291805
CHEMBL1085937,c1ccc(-c2ccc(NCCCN3CCOCC3)nn2)cc1,410000.0,410000.0,3.387216143280263
CHEMBL1085274,CCN1CCCC1CNc1ccc(-c2ccccc2)nn1,62000.0,62000.0,4.2076083105017394
CHEMBL1085275,c1ccc(-c2ccc(NCCN3CCc4ccccc4C3)nn2)cc1,83000.0,83000.0,4.080921907623921
CHEMBL1084255,c1ccc(-c2ccc(NCCCN3CCc4ccccc4C3)nn2)cc1,35000.0,35000.0,4.455931955649712
CHEMBL25264,c1ccc(-c2ccc(NCCCCN3CCc4ccccc4C3)nn2)cc1,15000.0,15000.0,4.823908740944289
CHEMBL1083054,c1ccc(-c2ccc(NCCCCCN3Cc4ccccc4CN3)nn2)cc1,10000.0,10000.0,4.9999999999999565
CHEMBL1086185,CN(CCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1,170000.0,170000.0,3.7695510786217237
CHEMBL1083055,CN(CCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1,13000.0,13000.0,4.88605664769313
CHEMBL1084257,CN(CCCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1,11000.0,11000.0,4.958607314841736
CHEMBL1083057,CN(CCCCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1,740.0,740.0,6.130768280268437
CHEMBL1083058,c1ccc(CN2CCC(Nc3ccc(-c4ccccc4)nn3)CC2)cc1,65000.0,65000.0,4.187086643357138
CHEMBL1083367,c1ccc(CN2CCC(CNc3ccc(-c4ccccc4)nn3)CC2)cc1,56000.0,56000.0,4.251811972993792
CHEMBL25412,c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,120.0,120.0,6.920818753948756
CHEMBL1084542,c1ccc(-c2ccc(NCN3CCCCC3)nc2)cc1,13000.0,13000.0,4.88605664769313
CHEMBL1084543,c1ccc(-c2cnc(NCN3CCCCC3)nc2)cc1,100000.0,100000.0,3.9999999999999956
CHEMBL1084786,c1ccc(-c2ncc(NCN3CCCCC3)nn2)cc1,57000.0,57000.0,4.244125144327501
CHEMBL1084787,c1ccc(-c2nnc(NCN3CCCCC3)s2)cc1,54000.0,54000.0,4.267606240177024
CHEMBL1084788,c1ccc(-c2cnc(NCN3CCCCC3)nn2)cc1,60000.0,60000.0,4.221848749616349
CHEMBL1084789,c1ccc(C2=NNC(NCN3CCCCC3)=NC2)cc1,47000.0,47000.0,4.327902142064273
CHEMBL1082433,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,305.0,305.0,6.51570016065179
CHEMBL1082434,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,30.0,30.0,7.522878745265861
CHEMBL1082435,CCn1c(C)nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc21,4.3,4.3,8.366531544319415
CHEMBL1084275,Cc1nc2ccc(C(=O)CCC3CCN(Cc4ccccc4)CC3)cc2s1,6.8,6.8,8.167491087229896
CHEMBL1084790,Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,12.0,12.0,7.920818753916184
CHEMBL1082436,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]c(-c3ccccc3)nc2c1,33.0,33.0,7.481486060108952
CHEMBL100334,CN(CCOCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,120.0,120.0,6.920818753948756
CHEMBL102142,Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,77.0,77.0,7.113509274821878
CHEMBL431058,COc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,26.0,26.0,7.585026652012479
CHEMBL101518,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)cc1)Cc1ccccc1,30.0,30.0,7.522878745265861
CHEMBL430679,CN(CCOCCNC(=S)NC(=O)c1cccc([N+](=O)[O-])c1)Cc1ccccc1,15.0,15.0,7.823908740915366
CHEMBL101940,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)c(Cl)c1)Cc1ccccc1,55.0,55.0,7.25963731049786
CHEMBL101809,CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,230.0,230.0,6.638272163980519
CHEMBL100510,CN(CCOCCNC(=S)NC(=O)c1ccc2ccccc2c1)Cc1ccccc1,100.0,100.0,6.999999999995657
CHEMBL1085030,CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1-2)Cc1ccccc1,30.0,30.0,7.522878745265861
CHEMBL1085031,CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O)Cc1ccccc1,6.0,6.0,8.221848749543973
CHEMBL101155,CN(CCOCCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,1100.0,1100.0,5.95860731484138
CHEMBL317541,CN(CCOCCNC(=S)NC(=O)c1ccccc1)C1CCCCC1,13.0,13.0,7.886056647659756
CHEMBL101988,CN(CCOCCNC(=S)Nc1ccc(Cl)cc1)Cc1ccccc1,1800.0,1800.0,5.744727494896453
CHEMBL420827,CN(CCOCCNC(=S)Nc1cccc2ccccc12)Cc1ccccc1,10000.0,10000.0,4.9999999999999565
CHEMBL329518,COc1ccc(NC(=S)NCCOCCN(C)Cc2cccc([N+](=O)[O-])c2)cc1OC,1500.0,1500.0,5.823908740944029
CHEMBL101028,CN(CCOCCNC(=S)Nc1ccc(OC(F)(F)F)cc1)Cc1ccccc1,1000.0,1000.0,5.999999999999566
